username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GetViralTweets;2011-08-22 01:01;0;0;"Bootstrap , from Twitter http:// bit.ly/nUKfIQ";;;;"105414240491405313";https://twitter.com/GetViralTweets/status/105414240491405313
dsingleton;2011-08-22 00:53;1;3;"Twitter Bootstrap ( https:// github.com/twitter/bootst rap … ) has lots built in, but Skeleton ( http://www. getskeleton.com / ) has better media-query support. Want both.";;;;"105412121390612480";https://twitter.com/dsingleton/status/105412121390612480
Axel_Grollemund;2011-08-22 00:37;0;0;"Twitter launches Bootstrap , open-source tools for making web apps http:// latimesblogs.latimes.com/technology/201 1/08/twitter-launches-bootstrap-tools-for-making-web-apps.html … via @latimestech";;@latimestech;;"105408196386111489";https://twitter.com/Axel_Grollemund/status/105408196386111489
renesouzza;2011-08-22 00:32;0;0;"Bootstrap , from Twitter http:// twitter.github.com/bootstrap/";;;;"105407025646796803";https://twitter.com/renesouzza/status/105407025646796803
ju_lien_;2011-08-22 00:32;0;0;"Bootstrap CSS from Twitter : http:// twitter.github.com/bootstrap/ #twitter #css #css3";;;#twitter #css #css3;"105406977475215360";https://twitter.com/ju_lien_/status/105406977475215360
couac;2011-08-22 00:23;3;1;"Bootstrap , from @twitter : http:// twitter.github.com/bootstrap/";;@twitter;;"105404612634361857";https://twitter.com/couac/status/105404612634361857
testaccountyep;2011-08-22 00:14;0;0;"@bdkjones How come I can't compile some of the files in Twitter's bootstrap with your Less.app? http:// i.imgur.com/mivWf.png";;@bdkjones;;"105402306656346112";https://twitter.com/testaccountyep/status/105402306656346112
lomaxx;2011-08-22 00:09;0;0;"Bootstrap , from Twitter looks pretty sweet http:// bit.ly/o0CVWI";;;;"105401224609792002";https://twitter.com/lomaxx/status/105401224609792002
davidwick_;2011-08-22 00:04;0;0;"@ejreynolds look at jqueryui dialog vs twitter bootstrap modal. sure jqueryui is full featured, but i usually don't need most of it.";;@ejreynolds;;"105399929119313920";https://twitter.com/davidwick_/status/105399929119313920
bitboss;2011-08-22 00:00;0;0;"@codepitbull I already have a bootstrap based @allschools version running on my machine.. very cool";;@codepitbull @allschools;;"105398853804621824";https://twitter.com/bitboss/status/105398853804621824
bitboss;2011-08-21 23:59;0;0;"@codepitbull bootstrap is awesome";;@codepitbull;;"105398707394052098";https://twitter.com/bitboss/status/105398707394052098
MxUsr;2011-08-21 23:58;0;0;"Twitter launches Bootstrap , open-source tools for making web apps http:// lat.ms/nTu86F . Vía @latimestech )";;@latimestech;;"105398278765555713";https://twitter.com/MxUsr/status/105398278765555713
tripbirds;2011-08-21 23:56;0;0;"Bootstrap from Twitter for simple front-end development. Looks very interesting. https:// dev.twitter.com/blog/bootstrap -twitter …";;;;"105397892977668096";https://twitter.com/tripbirds/status/105397892977668096
candlelight;2011-08-21 23:47;0;0;"Twitter Releases Bootstrap , A Set Of Tools To Build Web Apps Using CSS http:// tcrn.ch/pZOHeE";;;;"105395741626863616";https://twitter.com/candlelight/status/105395741626863616
tomasopano;2011-08-21 23:44;0;0;"@pcanella what is the bootstrap ?";;@pcanella;;"105394892485836800";https://twitter.com/tomasopano/status/105394892485836800
coffeesnake;2011-08-21 23:42;0;0;"The very first look at Twitter’s Bootstrap framework. | Hacks and lifestyle http:// coffeesnake.me/?p=60";;;;"105394361742790656";https://twitter.com/coffeesnake/status/105394361742790656username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
saicolobe;2011-08-26 01:55;0;0;"Twitter Bootstrap http:// htn.to/TDxBY3";;;;"106877503150362624";https://twitter.com/saicolobe/status/106877503150362624
wolfeidau;2011-08-26 01:21;0;0;"Thanks to latest release of tilt gem by @rtomayko twitter bootstrap now works with path tweaks in rails 3.1 asset pipeline #lesscss #rails";;@rtomayko;#lesscss #rails;"106868712958734336";https://twitter.com/wolfeidau/status/106868712958734336
wolfeidau;2011-08-26 01:19;0;0;"Thanks to latest release of tilt gem by @rtomayko twitter bootstrap now works with path tweaks in rails 3.1 asset pipeline #lesscss #rails";;@rtomayko;#lesscss #rails;"106868287647916033";https://twitter.com/wolfeidau/status/106868287647916033
AntonVolodin;2011-08-26 01:05;0;0;"Bootstrap - http:// bit.ly/qnJNuq";;;;"106864930774466560";https://twitter.com/AntonVolodin/status/106864930774466560
boichot;2011-08-26 01:05;0;0;"Cool cool web toolkit by twitter : http://j.mp/o5IWyX Twitter Bootstrap (via @macromedios )";;@macromedios;;"106864779003559936";https://twitter.com/boichot/status/106864779003559936
_AdamSantana;2011-08-26 00:53;0;0;"Everybody wearing bootstrap at krop";;;;"106861861395378176";https://twitter.com/_AdamSantana/status/106861861395378176
scrittler;2011-08-26 00:52;0;0;"Trying out the Twitter Bootstrap stuff for a new project - pretty clean! http:// bit.ly/nf8Jdc";;;;"106861583120089088";https://twitter.com/scrittler/status/106861583120089088
cnruby;2011-08-26 00:33;0;0;"Reading: " Bootstrap , from Twitter"( http:// twitthis.com/au9ole )";;;;"106856799415701504";https://twitter.com/cnruby/status/106856799415701504
cnruby;2011-08-26 00:33;0;0;"Reading: "twitter/ bootstrap - GitHub"( http:// twitthis.com/7m7vdi )";;;;"106856656931000320";https://twitter.com/cnruby/status/106856656931000320
cnruby;2011-08-26 00:32;0;0;"Reading: " Bootstrap .less by Mark Otto"( http:// twitthis.com/j2qcci )";;;;"106856473073684480";https://twitter.com/cnruby/status/106856473073684480
YahooGuy;2011-08-26 00:29;0;0;"Canvas Pinball, Flickr Push, SSH can do that?, TDD JavaScript, Paratrooper, Bootstrap http:// yhoo.it/osY44Z";;;;"106855720292597760";https://twitter.com/YahooGuy/status/106855720292597760
YahooGuy;2011-08-26 00:29;0;0;"Canvas Pinball, Flickr Push, SSH can do that?, TDD JavaScript, Paratrooper, Bootstrap http:// bit.ly/nFc0o9";;;;"106855718593888257";https://twitter.com/YahooGuy/status/106855718593888257
d0nk;2011-08-26 00:14;0;0;"Twitter's Bootstrap ( http:// bit.ly/oR4U7P ) is awesome for quickly making good-looking webpages.";;;;"106852055959871490";https://twitter.com/d0nk/status/106852055959871490
FiveStarWebSolu;2011-08-26 00:12;0;0;"Post: Twitter open sources Bootstrap web front-end toolkit http://www. fivestarwebsolution.com/?p=1213";;;;"106851478446157825";https://twitter.com/FiveStarWebSolu/status/106851478446157825
vdrnn;2011-08-26 00:03;0;1;"bootstrap by twitter looks pretty interesting. anyone tried it out already? http:// twitter.github.com/bootstrap/";;;;"106849202625183744";https://twitter.com/vdrnn/status/106849202625183744
landley;2011-08-25 23:51;0;0;"@funtoo What would be involved in getting funtoo to natively build/ bootstrap itself under an existing non-funtoo dev environment?";;@funtoo;;"106846107199471616";https://twitter.com/landley/status/106846107199471616
daveonkels;2011-08-25 23:50;1;0;"Bootstrap , the app-UI-in-a-box from Twitter http:// bit.ly/qXnI4s #awesome";;;#awesome;"106845825157701632";https://twitter.com/daveonkels/status/106845825157701632
Cleveland_Buzzz;2011-08-25 23:46;0;0;"#Event : Start-up Funding: Bootstrap to Venture http:// dlvr.it/hqpHX #Cleveland #OH";;;#Event #Cleveland #OH;"106844904491192320";https://twitter.com/Cleveland_Buzzz/status/106844904491192320
francoislaberge;2011-08-25 23:25;0;0;"@kyle_jones Heheh, I was more going for that contemporary non literal theologist could come to a non contradictory belief that bootstrap =god";;@kyle_jones;;"106839729005264896";https://twitter.com/francoislaberge/status/106839729005264896
webcommunity;2011-08-25 23:21;0;0;"Canvas Pinball, Flickr Push, SSH can do that?, TDD JavaScript, Paratrooper, Bootstrap http://j.mp/nVrf2x #Developers";;;#Developers;"106838523180613635";https://twitter.com/webcommunity/status/106838523180613635
seitengestalter;2011-08-25 23:20;0;0;"Bootstrap , from Twitter http:// icio.us/uaqOZG";;;;"106838449880965122";https://twitter.com/seitengestalter/status/106838449880965122
r_robert_bell;2011-08-25 23:12;0;0;"@DocJelly At least the bootstrap won't require search path mods. As an alternate, copy Acad.lsp as part of a deploy script. Email me.";;@DocJelly;;"106836310861430784";https://twitter.com/r_robert_bell/status/106836310861430784
danielendara;2011-08-25 23:02;0;0;"Using #bootstrap from #twitter for the first time. Very simple way to add a very nice #UI for quick web application prototypes. #css #html";;;#bootstrap #twitter #UI #css #html;"106833817117016064";https://twitter.com/danielendara/status/106833817117016064
ydn;2011-08-25 23:02;2;5;"Canvas Pinball, Flickr Push, SSH can do that?, TDD JavaScript, Paratrooper, Bootstrap http:// yhoo.it/pmTeaf #techthurs";;;#techthurs;"106833779020140544";https://twitter.com/ydn/status/106833779020140544
ChrisVossOnline;2011-08-25 22:56;0;0;"Make Your Own iPhone App?! Inside Secrets to an iPhone App on a Bootstrap and successfully Market it! http:// bit.ly/fKoZAT";;;;"106832245309980673";https://twitter.com/ChrisVossOnline/status/106832245309980673
mathieuel;2011-08-25 22:20;0;0;"building a webapp with Bootstrap , from Twitter http:// twitter.github.com/bootstrap/#great lib and nice looking";;;#great;"106823261693816833";https://twitter.com/mathieuel/status/106823261693816833
ckalima;2011-08-25 22:10;0;0;"Twitter's front-end framework, Bootstrap . http:// bit.ly/rtqdBe";;;;"106820850120007681";https://twitter.com/ckalima/status/106820850120007681
kbateman;2011-08-25 22:04;0;0;"@tombeardshaw and yes I got some bits done yay. Also bootstrap from twitter is very helpful css fun. Changing my db use probably to couchdb";;@tombeardshaw;;"106819341441449984";https://twitter.com/kbateman/status/106819341441449984
cra;2011-08-25 21:52;0;0;"I did something good today! I taught @mdo and @fat about semantic versioning, they hopefully will apply it to bootstrap http:// semver.org /";;@mdo @fat;;"106816361476534273";https://twitter.com/cra/status/106816361476534273
gugahb;2011-08-25 21:45;0;0;"#Twitter open sources #Bootstrap web front-end toolkit http:// h-online.com/-1328065 #theh #open";;;#Twitter #Bootstrap #theh #open;"106814393643302912";https://twitter.com/gugahb/status/106814393643302912username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FrankDenbow;2011-09-01 01:50;1;0;"Kieran from @vidcaster drove a taxi to bootstrap his company #500startups #hustle";;@vidcaster;#500startups #hustle;"109050555166502912";https://twitter.com/FrankDenbow/status/109050555166502912
joerussbowman;2011-09-01 01:39;0;0;"Breaking ground on my new product idea. Got to say the twitter bootstrap is helping a lot.";;;;"109047778444980224";https://twitter.com/joerussbowman/status/109047778444980224
martiell;2011-09-01 01:20;0;0;"@jclouds Aha! I thought you could bootstrap on Windows… I guess I misunderstood our JUG intro to jclouds. Can you run scripts at all? Docs?";;@jclouds;;"109042958283702272";https://twitter.com/martiell/status/109042958283702272
javascriptalert;2011-09-01 01:18;0;1;"Bootstrap , from Twitter: http:// bit.ly/qhIhO5";;;;"109042439725125633";https://twitter.com/javascriptalert/status/109042439725125633
MattM34;2011-09-01 01:00;0;0;"How to #bootstrap a small #business with no #capital and make money http:// bit.ly/hx4TIu";;;#bootstrap #business #capital;"109037798958444544";https://twitter.com/MattM34/status/109037798958444544
stefras;2011-09-01 00:51;0;0;"Bootstrap - kickstart development of webapps and sites, from Twitter ( http:// bit.ly/otTu0G )";;;;"109035687415791616";https://twitter.com/stefras/status/109035687415791616
jakerutter;2011-09-01 00:39;0;0;"I like the bootstrap framework, got some nice CSS - that I might have to borrow. http:// twitter.github.com/bootstrap/#mas thead …";;;#mas;"109032511505571840";https://twitter.com/jakerutter/status/109032511505571840
BergUP;2011-09-01 00:38;0;0;"Bootstrap HTML- und CSS Toolkit von Twitter http:// goo.gl/QlDPp";;;;"109032229480574976";https://twitter.com/BergUP/status/109032229480574976
crazybuyer22;2011-09-01 00:15;0;0;"Cash Bootstrap Method V2: The Cash Bootstrap Method V2 is what every online marketer needs to know. It's about h... http:// bit.ly/roer6U";;;;"109026543824670721";https://twitter.com/crazybuyer22/status/109026543824670721
shardcom;2011-09-01 00:14;0;0;"The web ain't dead yet, and it's getting easier to create. http:// bit.ly/n02sr9 [Thx to Adobe Muse, Twitter Bootstrap , WordPress.]";;;;"109026307622436864";https://twitter.com/shardcom/status/109026307622436864
pinboardpopular;2011-09-01 00:10;0;0;"Twitter Bootstrap http://j.mp/q2G9Mm";;;;"109025190083706880";https://twitter.com/pinboardpopular/status/109025190083706880
FaTTMack85;2011-09-01 00:01;0;0;"Now thats the #bootstrap that i know lmaoRT @Half_Baked215 : @Buddy52st lmao, just pop one of her homies tho!, lmao...will do!...lmao!...";;@Half_Baked215 @Buddy52st;#bootstrap;"109022948777668608";https://twitter.com/FaTTMack85/status/109022948777668608
MaximeLenne;2011-08-31 23:54;0;0;"RT @h5bp A nice combo of Twitter's bootstrap and H5BP: http:// ikreativ.com/projects/workl ess/ … /by @iKreativ #HTML5";;@h5bp @iKreativ;#HTML5;"109021314601324544";https://twitter.com/MaximeLenne/status/109021314601324544
xesands;2011-08-31 23:54;0;0;"If I can bootstrap my way through Pro Tools, I can darn well do the same with Dreamweaver CS3. I can!";;;;"109021180190670848";https://twitter.com/xesands/status/109021180190670848
benjamin_ds;2011-08-31 23:46;0;1;"" @h5bp : A nice combo of Twitter's bootstrap and H5BP: http:// ikreativ.com/projects/workl ess/ … /by @iKreativ "";;@h5bp @iKreativ;;"109019186365349888";https://twitter.com/benjamin_ds/status/109019186365349888
usermood;2011-08-31 23:29;1;0;"@tampabayWaVE Glad to help out! Bootstrap entrepreneurs should have a place to hang out together :-)";;@tampabayWaVE;;"109014969961553920";https://twitter.com/usermood/status/109014969961553920
johnfredcee;2011-08-31 23:25;0;0;"@PushButtonCoder A Operating System of a thousand gig begins with a 32k bootstrap loader...";;@PushButtonCoder;;"109014076193116160";https://twitter.com/johnfredcee/status/109014076193116160
TwittGenie;2011-08-31 23:23;0;0;"When starting and growing your business, it's important to bootstrap with your own resources as much as possible. -Mike Smith";;;;"109013357721436160";https://twitter.com/TwittGenie/status/109013357721436160
mikeebee;2011-08-31 23:21;0;0;"@rockthenroll I've used NSM .htaccess & config bootstrap which _should_ play along ok. I've sent a support request to them. Thanks!";;@rockthenroll;;"109013083749498881";https://twitter.com/mikeebee/status/109013083749498881
theLemonZest;2011-08-31 23:06;0;0;"Fast-track your next web project. RT @happycog : A nice short review of Twitter's Bootstrap : http://cog.gd/2ju";;@happycog;;"109009198796374016";https://twitter.com/theLemonZest/status/109009198796374016
techsocialite;2011-08-31 23:01;1;1;"ooh, check it out - a basic website framekit from Twitter called Bootstrap - http:// cot.ag/n8n42r ... the possibilities";;;;"109008049406099456";https://twitter.com/techsocialite/status/109008049406099456
philipthrasher;2011-08-31 22:53;0;0;"Loving twitter bootstrap . If you're not already involved, take a look at the issues. There are plenty that need to be fixed. http://bit.ly/o";;;;"109005810637611008";https://twitter.com/philipthrasher/status/109005810637611008
siah;2011-08-31 22:53;1;0;"To be perfectly honest I still do not understand why bootstrap method works. #statistics";;;#statistics;"109005789905166336";https://twitter.com/siah/status/109005789905166336
suomarketing;2011-08-31 22:51;0;0;"Bootstrap HTML- und CSS Toolkit von Twitter http:// goo.gl/fb/CxFno";;;;"109005328477208576";https://twitter.com/suomarketing/status/109005328477208576
aarronpainter;2011-08-31 22:46;0;0;"Good stuff; was working on the exact same idea : “ @h5bp : A nice combo of Twitter's bootstrap and H5BP: http:// ikreativ.com/projects/workl ess/ … /by @iKreativ ”";;@h5bp @iKreativ;;"109004086220832768";https://twitter.com/aarronpainter/status/109004086220832768
QUICMwiki;2011-08-31 22:44;0;0;"Talk:ICM522de Bootstrap Syllabus: Created page with "Where is the benchmarks discussion list? ~~~~" New pageWher... http:// bit.ly/nONNut";;;;"109003738554961920";https://twitter.com/QUICMwiki/status/109003738554961920
flashpunk;2011-08-31 22:36;0;1;"I just creamed my pants #responsive #web RT: @h5bp : A nice combo of Twitter's bootstrap and H5BP: http:// ikreativ.com/projects/workl ess/ … /by @iKreativ";;@h5bp @iKreativ;#responsive #web;"109001541674999808";https://twitter.com/flashpunk/status/109001541674999808
drublic;2011-08-31 22:34;0;0;"Twitter's Bootstrap and H5BP in connection: http:// ikreativ.com/projects/workl ess/ … Nice.";;;;"109001084042870784";https://twitter.com/drublic/status/109001084042870784
h5bp;2011-08-31 22:32;43;64;"A nice combo of Twitter's bootstrap and H5BP: http:// ikreativ.com/projects/workl ess/ … /by @iKreativ";;@iKreativ;;"109000755251384320";https://twitter.com/h5bp/status/109000755251384320
FaTTMack85;2011-08-31 22:23;0;0;"Thats his name again Triz. Its now @bootstrap215 lmmfaoRT @Triz215: @Half_Baked215 @Buddy52st @Half_Baked215 lmao... #bootstrap";;@bootstrap215 @Triz215 @Half_Baked215 @Buddy52st @Half_Baked215;#bootstrap;"108998408634773504";https://twitter.com/FaTTMack85/status/108998408634773504username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vatweet;2011-09-11 01:58;0;0;"RT @BootstrapBiz : Use virtual assistants to get professional results for your bootstrap business.";;@BootstrapBiz;;"112676278355759105";https://twitter.com/vatweet/status/112676278355759105
BiznComps;2011-09-11 01:44;0;0;"How to #bootstrap a small #business with no #capital and make money http:// bit.ly/hx4TIu";;;#bootstrap #business #capital;"112672736773541888";https://twitter.com/BiznComps/status/112672736773541888
jrcryer;2011-09-11 01:32;0;0;"@netmag no review/intro of Bootstrap this month?";;@netmag;;"112669832306110464";https://twitter.com/jrcryer/status/112669832306110464
HSWLStrategic;2011-09-11 01:30;0;0;"How to Bootstrap a Business http:// bit.ly/pNmPXX";;;;"112669424946917377";https://twitter.com/HSWLStrategic/status/112669424946917377
linobertrand;2011-09-11 01:20;0;0;"drupal RT @drupal_themes : Bootstrap base theme: About Bootstrap base theme Base theme based on Bootstrap from T... http:// bit.ly/qFx6In";;@drupal_themes;;"112666799459405825";https://twitter.com/linobertrand/status/112666799459405825
fnichol;2011-09-11 01:02;0;0;"Currently writing an #opschef knife bootstrap script for Ubuntu/RVM. So far, very straight forward...";;;#opschef;"112662259330854912";https://twitter.com/fnichol/status/112662259330854912
SheltonLA;2011-09-11 00:47;1;0;"@usmc81 Need your support! Check out Bootstrap 50 on Facebook. 50% of all net proceeds go to U.S. Veteran charities! Please retweet! #usmc";;@usmc81;#usmc;"112658487544266752";https://twitter.com/SheltonLA/status/112658487544266752
martinmoakler;2011-09-11 00:36;0;0;"Just saw Contagion featuring the most menacing shot of peanuts you'll ever see & Jude Law as a loveable bootstrap .";;;;"112655597329072128";https://twitter.com/martinmoakler/status/112655597329072128
HotBlogTips;2011-09-11 00:31;0;0;"Blogging Business – How to Bootstrap the Crap Out of Your Blog http://www. famousbloggers.net/bootstrap-blog .html … via @FamousBloggers & @danielroach #BestBloggingTips";;@FamousBloggers @danielroach;#BestBloggingTips;"112654571901435904";https://twitter.com/HotBlogTips/status/112654571901435904
PinaxTracker;2011-09-11 00:25;0;0;"[pinax] http:// git.io/Lsg57g James Tauber - Merge branch 'master' into bootstrap -theme";;;;"112652847157485568";https://twitter.com/PinaxTracker/status/112652847157485568
Vindy_Moller;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649057264091136";https://twitter.com/Vindy_Moller/status/112649057264091136
karlypenny;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649056802705408";https://twitter.com/karlypenny/status/112649056802705408
marlynsamson;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649056324558848";https://twitter.com/marlynsamson/status/112649056324558848
MaiTifon;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649055313739776";https://twitter.com/MaiTifon/status/112649055313739776
Kettyparison;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649055020122112";https://twitter.com/Kettyparison/status/112649055020122112
Natalyjack;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649052239302656";https://twitter.com/Natalyjack/status/112649052239302656
LilyMadison1;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649051790520322";https://twitter.com/LilyMadison1/status/112649051790520322
CarlyEdittOn;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649051773730816";https://twitter.com/CarlyEdittOn/status/112649051773730816
TOpSEssIOn;2011-09-11 00:10;0;0;"Multicast PIM Bootstrap lab in GNS3 http:// bit.ly/igxdrQ";;;;"112649050905526272";https://twitter.com/TOpSEssIOn/status/112649050905526272
TranscripESvcs;2011-09-11 00:00;0;0;"Blogging Business – How to Bootstrap the Crap Out of Your Blog http://j.mp/nDPhdc";;;;"112646541176619008";https://twitter.com/TranscripESvcs/status/112646541176619008
fluid_IQ;2011-09-10 23:23;0;0;"Even on a bootstrap budget we will make it";;;;"112637403331694592";https://twitter.com/fluid_IQ/status/112637403331694592
eAutoPowerBlogs;2011-09-10 23:20;0;0;"Blogging Business – How to Bootstrap the Crap Out of Your Blog http:// bit.ly/mR6amG";;;;"112636653457256449";https://twitter.com/eAutoPowerBlogs/status/112636653457256449
mostpopularpage;2011-09-10 22:59;0;0;"Ed Hardy Bootstrap Boot for Women - Black http:// goo.gl/fb/EgZQv #USArmy #watch";;;#USArmy #watch;"112631393724547073";https://twitter.com/mostpopularpage/status/112631393724547073
FamousBloggers;2011-09-10 22:56;1;0;"How to Bootstrap the Crap Out of Your Blog #SU #Blogging #Business http:// su.pr/2Z3d6c";;;#SU #Blogging #Business;"112630527156158464";https://twitter.com/FamousBloggers/status/112630527156158464
crazybuyer22;2011-09-10 22:50;0;0;"Bootstrap Your Massage Business - Marketing For Practically Pennies: Highly Successful Massage Therapist Release... http:// bit.ly/p87PtQ";;;;"112628993697660928";https://twitter.com/crazybuyer22/status/112628993697660928
crazybuyer22;2011-09-10 22:50;0;0;"Cash Bootstrap Method V2: The Cash Bootstrap Method V2 is what every online marketer needs to know. It's about h... http:// bit.ly/qTyEdO";;;;"112628989989888000";https://twitter.com/crazybuyer22/status/112628989989888000
itspriddle;2011-09-10 22:47;0;0;"@jmazzi erb templates for bootstrap";;@jmazzi;;"112628408722272256";https://twitter.com/itspriddle/status/112628408722272256
zad0xsis;2011-09-10 22:37;0;0;"@Iamsebj thanks :D mostly was done with twitter's bootstrap";;@Iamsebj;;"112625860581933057";https://twitter.com/zad0xsis/status/112625860581933057
AdrienneSmith40;2011-09-10 22:35;1;0;"How to Bootstrap the Crap Out of Your Blog http:// bit.ly/n0LIJQ via @danielroach";;@danielroach;;"112625217033093120";https://twitter.com/AdrienneSmith40/status/112625217033093120
MatthewRebmann;2011-09-10 21:58;0;0;"@RootzWiki any news on the D3 for @clockworkmod / @koush for Bootstrap ?";;@RootzWiki @clockworkmod @koush;;"112615969142214657";https://twitter.com/MatthewRebmann/status/112615969142214657username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nedwards;2011-10-12 01:51;0;0;"@mrgan Basically agreed. If it can bootstrap into real motivation, awesome. Good as an appetizer, not as substitute meal. Anecdote ahead:";;@mrgan;;"123908663038582784";https://twitter.com/nedwards/status/123908663038582784
BennettResnik;2011-10-12 01:40;0;0;"The Ultimate Bootstrap Marketing List http:// ideamensch.com/the-ultimate-b ootstrap-marketing-list/ …";;;;"123905860786323456";https://twitter.com/BennettResnik/status/123905860786323456
rosanapadua;2011-10-12 01:37;0;0;"RT @tbrasil Twitter Bootstrap – CSS Framework do Twitter http://www. twitbrasil.org/2011/10/11/twi tter-bootstrap-%e2%80%93-css-framework-do-twitter/ …";;@tbrasil;;"123905039705182210";https://twitter.com/rosanapadua/status/123905039705182210
BiznCompNews247;2011-10-12 01:36;0;0;"How to #bootstrap a small #business with no #capital and make money http:// bit.ly/oCQhq3";;;#bootstrap #business #capital;"123904754916134913";https://twitter.com/BiznCompNews247/status/123904754916134913
johnny_t;2011-10-12 01:18;0;0;"Check out this toolkit to bootstrap the front end of a web app: ' Bootstrap , from Twitter' - http:// twitter.github.com/bootstrap";;;;"123900247306018817";https://twitter.com/johnny_t/status/123900247306018817
sergiocerrutti;2011-10-12 01:17;0;0;"Tomorrow I will launch a new web tool, developed with #Bootstrap toolkit, #jQuery , #HTML5 , #CSS3 and #LESS .";;;#Bootstrap #jQuery #HTML5 #CSS3 #LESS;"123900056981094401";https://twitter.com/sergiocerrutti/status/123900056981094401
websiteberlin;2011-10-12 00:50;0;0;"Bootstrap , from Twitter http:// bit.ly/pOokCK #website";;;#website;"123893270056140800";https://twitter.com/websiteberlin/status/123893270056140800
